time[h],concentration[ng/ml]
0.167,114.61
0.25,47.022
0.417,32.713
0.667,28.953001
0.917,26.908
1.167,25.587
1.667,20.555
2.167,20.08
2.667,17.44
4.167,8.86899948
6.167,7.62900066
