time[h],concentration[ng/ml]
0.25,5.691057
0.5,105.2846
0.75,232.7642
1.0,280.5691
1.5,303.9024
2.0,285.1219
2.5,267.4797
3.0,243.577209
4.0,171.8699
6.0,95.04065
7.0,71.70731
8.0,54.06504
10.0,33.00813
11.0,27.31707
12.0,22.76423
14.0,18.78049
16.0,13.65854
24.0,6.260163
