time[h],concentration[µg/ml]
0.5,2.49
1.0,8.77
1.5,9.32
2.0,8.95
2.5,8.51
3.0,7.9
4.0,6.76
6.0,4.29
8.0,3.08
10.0,1.89
12.0,1.16
16.0,0.35
24.0,0.01
