time[h],concentration[mg]
2.0,1.98111272
3.0,7.98371649
4.0,14.1291733
5.0,19.1294022
6.0,33.29386
7.0,42.16005
8.0,46.8735428
9.0,51.7305756
10.0,54.29612
11.0,57.1480637
12.0,59.7
