time[h],concentration[µg/ml]
0.25,0.116071455
0.5,1.15759957
1.0,6.32597876
2.0,9.119467
4.0,6.46284533
6.0,4.338339
8.0,2.86005569
10.0,1.66100609
12.0,1.05098546
16.0,0.224846348
