time[h],concentration[mg/l]
0.5,2.39
1.0,6.19
2.0,9.76
4.0,13.16
8.0,5.92
72.5,1.41
73.0,2.26
74.0,5.26
76.0,4.38
80.0,1.3
144.5,1.43
145.0,10.33
146.0,7.47
148.0,12.56
152.0,5.21
