time[h],concentration[mg/l]
0.465550572,8.308695e-05
0.980841756,0.000116836607
1.53406775,0.000108723383
2.08561063,9.303658e-05
4.062361,5.427195e-05
6.13323641,3.442201e-05
8.250332,2.18303139e-05
12.1207132,1.18209045e-05
24.21685,5.83487054e-06
48.1841049,1.92586276e-06
