time[day(s)],concentration[mg/l]
19.0,1.93073847e-05
19.020834,5.56458835e-05
19.041666,9.726173e-05
19.0625,9.970629e-05
19.083334,9.561554e-05
19.125,7.89080441e-05
19.166666,7.077934e-05
19.25,5.23922681e-05
19.333334,4.07719781e-05
19.416666,3.477517e-05
19.5,3.06660768e-05
20.0,2.0639176e-05
