study,time_h,conc_native,conc_unit,conc_mg_L
"Abduljalil 2009, 500 mg po MD",3.9947,3.30871058,µmol/l,2.474761
"Abduljalil 2009, 500 mg po MD",4.0144,5.223317,µmol/l,3.906798
"Abduljalil 2009, 500 mg po MD",4.3137,2.23028278,µmol/l,1.668148
"Abduljalil 2009, 500 mg po MD",4.4286,5.380908,µmol/l,4.024668
"Abduljalil 2009, 500 mg po MD",4.4776,2.12125134,µmol/l,1.586597
"Abduljalil 2009, 500 mg po MD",4.4848,2.824079,µmol/l,2.112279
"Abduljalil 2009, 500 mg po MD",4.4887,3.19971919,µmol/l,2.393241
"Abduljalil 2009, 500 mg po MD",4.4906,3.38149619,µmol/l,2.529202
"Abduljalil 2009, 500 mg po MD",4.4957,3.87832069,µmol/l,2.900803
"Abduljalil 2009, 500 mg po MD",4.5576,1.878909,µmol/l,1.405336
"Abduljalil 2009, 500 mg po MD",4.5629,2.38784671,µmol/l,1.785998
"Abduljalil 2009, 500 mg po MD",4.7257,2.16975737,µmol/l,1.622877
"Abduljalil 2009, 500 mg po MD",4.8112,2.46059227,µmol/l,1.840408
"Abduljalil 2009, 500 mg po MD",4.8153,2.860472,µmol/l,2.1395
"Abduljalil 2009, 500 mg po MD",4.8858,1.69718564,µmol/l,1.269416
"Abduljalil 2009, 500 mg po MD",4.8883,1.93954146,µmol/l,1.450687
"Abduljalil 2009, 500 mg po MD",4.9048,3.53907347,µmol/l,2.647062
"Abduljalil 2009, 500 mg po MD",4.9824,3.06650186,µmol/l,2.2936
"Abduljalil 2009, 500 mg po MD",4.9837,3.187673,µmol/l,2.384231
"Abduljalil 2009, 500 mg po MD",5.0055,5.308283,µmol/l,3.970348
"Abduljalil 2009, 500 mg po MD",5.0514,1.74567819,µmol/l,1.305686
"Abduljalil 2009, 500 mg po MD",5.1369,2.036513,µmol/l,1.523217
"Abduljalil 2009, 500 mg po MD",5.1455,2.87263846,µmol/l,2.1486
"Abduljalil 2009, 500 mg po MD",5.2181,1.91535532,µmol/l,1.432597
"Abduljalil 2009, 500 mg po MD",5.2201,2.109232,µmol/l,1.577607
"Abduljalil 2009, 500 mg po MD",5.3086,2.69090176,µmol/l,2.012669
"Abduljalil 2009, 500 mg po MD",5.3941,2.98173666,µmol/l,2.2302
"Abduljalil 2009, 500 mg po MD",5.4612,1.4791497,µmol/l,1.106335
"Abduljalil 2009, 500 mg po MD",5.4708,2.41222,µmol/l,1.804228
"Abduljalil 2009, 500 mg po MD",5.4754,2.86056566,µmol/l,2.13957
"Abduljalil 2009, 500 mg po MD",5.4809,3.39375615,µmol/l,2.538371
"Abduljalil 2009, 500 mg po MD",5.4991,5.16293859,µmol/l,3.861637
"Abduljalil 2009, 500 mg po MD",5.6245,1.30952466,µmol/l,0.979463
"Abduljalil 2009, 500 mg po MD",5.6304,1.89116919,µmol/l,1.414506
"Abduljalil 2009, 500 mg po MD",5.797,2.03660679,µmol/l,1.523287
"Abduljalil 2009, 500 mg po MD",5.8761,1.70944583,µmol/l,1.278586
"Abduljalil 2009, 500 mg po MD",5.9549,1.34591889,µmol/l,1.006685
"Abduljalil 2009, 500 mg po MD",5.9593,1.77005148,µmol/l,1.323916
"Abduljalil 2009, 500 mg po MD",5.9615,1.98816764,µmol/l,1.487057
"Abduljalil 2009, 500 mg po MD",5.9628,2.10933876,µmol/l,1.577687
"Abduljalil 2009, 500 mg po MD",5.9682,2.64251614,µmol/l,1.976479
"Abduljalil 2009, 500 mg po MD",5.9715,2.95757747,µmol/l,2.21213
"Abduljalil 2009, 500 mg po MD",5.98,3.78158975,µmol/l,2.828453
"Abduljalil 2009, 500 mg po MD",5.9914,4.89642334,µmol/l,3.662296
"Abduljalil 2009, 500 mg po MD",7.6829,0.8735838,µmol/l,0.6534
"Abduljalil 2009, 500 mg po MD",7.8496,1.04325557,µmol/l,0.780307
"Abduljalil 2009, 500 mg po MD",7.8516,1.23713887,µmol/l,0.925322
"Abduljalil 2009, 500 mg po MD",7.9356,1.38256574,µmol/l,1.034095
"Abduljalil 2009, 500 mg po MD",7.9368,1.49162376,µmol/l,1.115665
"Abduljalil 2009, 500 mg po MD",7.9379,1.6006819,µmol/l,1.197235
"Abduljalil 2009, 500 mg po MD",7.9401,1.81879807,µmol/l,1.360376
"Abduljalil 2009, 500 mg po MD",7.9422,2.024801,µmol/l,1.514457
"Abduljalil 2009, 500 mg po MD",7.9593,3.684939,µmol/l,2.756163
"Abduljalil 2009, 500 mg po MD",8.0176,1.33410525,µmol/l,0.997849
"Abduljalil 2009, 500 mg po MD",11.8859,0.365246326,µmol/l,0.273187
"Abduljalil 2009, 500 mg po MD",11.8865,0.425834626,µmol/l,0.318504
"Abduljalil 2009, 500 mg po MD",11.8875,0.5227769,µmol/l,0.391013
"Abduljalil 2009, 500 mg po MD",11.8881,0.5833652,µmol/l,0.43633
"Abduljalil 2009, 500 mg po MD",11.8896,0.72877866,µmol/l,0.545092
"Abduljalil 2009, 500 mg po MD",11.983,1.78303361,µmol/l,1.333626
"Abduljalil 2009, 500 mg po MD",12.0554,0.8015081,µmol/l,0.599491
"Abduljalil 2009, 500 mg po MD",12.0561,0.8742148,µmol/l,0.653872
"Abduljalil 2009, 500 mg po MD",12.057,0.959038734,µmol/l,0.717316
"Abduljalil 2009, 500 mg po MD",12.1403,1.03175747,µmol/l,0.771707
"Abduljalil 2009, 500 mg po MD",23.9393,0.9728712,µmol/l,0.727662
"Abduljalil 2009, 500 mg po MD",23.9434,1.37275219,µmol/l,1.026755
"Abduljalil 2009, 500 mg po MD",24.0208,0.8759409,µmol/l,0.655163
"Abduljalil 2009, 500 mg po MD",24.1074,1.2758379,µmol/l,0.954267
"Abduljalil 2009, 500 mg po MD",24.1099,1.51818967,µmol/l,1.135535
"Abduljalil 2009, 500 mg po MD",24.1185,2.354315,µmol/l,1.760918
"Abduljalil 2009, 500 mg po MD",24.2663,0.682092369,µmol/l,0.510173
"Abduljalil 2009, 500 mg po MD",24.2736,1.38491881,µmol/l,1.035855
"Abduljalil 2009, 500 mg po MD",24.3524,1.02140117,µmol/l,0.76396
"Abduljalil 2009, 500 mg po MD",24.3531,1.09410787,µmol/l,0.818342
"Abduljalil 2009, 500 mg po MD",24.4329,0.8275286,µmol/l,0.618953
"Abduljalil 2009, 500 mg po MD",24.4366,1.1910609,µmol/l,0.890858
"Abduljalil 2009, 500 mg po MD",24.4374,1.2637676,µmol/l,0.945239
"Abduljalil 2009, 500 mg po MD",24.4406,1.57882214,µmol/l,1.180885
"Abduljalil 2009, 500 mg po MD",24.447,2.19683123,µmol/l,1.643127
"Abduljalil 2009, 500 mg po MD",24.7664,1.16687346,µmol/l,0.872767
"Abduljalil 2009, 500 mg po MD",24.768,1.324404,µmol/l,0.990592
"Abduljalil 2009, 500 mg po MD",24.8497,1.23959219,µmol/l,0.927157
"Abduljalil 2009, 500 mg po MD",24.8539,1.6515944,µmol/l,1.235316
"Abduljalil 2009, 500 mg po MD",24.8549,1.74853933,µmol/l,1.307826
"Abduljalil 2009, 500 mg po MD",24.863,2.5361855,µmol/l,1.896949
"Abduljalil 2009, 500 mg po MD",25.0167,1.43350494,µmol/l,1.072195
"Abduljalil 2009, 500 mg po MD",25.0264,2.37868834,µmol/l,1.779148
"Abduljalil 2009, 500 mg po MD",25.0952,1.0457437,µmol/l,0.782168
"Abduljalil 2009, 500 mg po MD",25.1075,2.23327756,µmol/l,1.670388
"Abduljalil 2009, 500 mg po MD",25.265,1.506237,µmol/l,1.126595
"Abduljalil 2009, 500 mg po MD",25.3635,3.05731678,µmol/l,2.28673
"Abduljalil 2009, 500 mg po MD",25.4426,2.73015571,µmol/l,2.042029
"Abduljalil 2009, 500 mg po MD",25.5309,3.287586,µmol/l,2.458961
"Abduljalil 2009, 500 mg po MD",25.6766,1.40935886,µmol/l,1.054135
"Abduljalil 2009, 500 mg po MD",25.6777,1.518417,µmol/l,1.135705
