time[h],concentration[µg/ml]
0.25,0.01578477
0.5,0.4673239
0.75,0.9151598
1.0,0.8780457
1.25,0.7616886
1.5,0.7774148
1.75,0.6384286
2.0,0.5994277
2.5,0.5931337
3.0,0.7453373
3.5,0.7654694
4.0,0.6837059
5.0,0.4352406
6.0,0.2867958
