time[h],concentration[µg/ml]
0.08,2.009525
0.17,1.406183
0.25,1.094399
0.33,0.8325549
0.75,0.6938052
1.0,0.4966871
2.0,0.3749911
3.0,0.2507122
5.0,0.1078921
6.0,0.09849225
