time[h],concentration[µmol/l]
0.25,1.615385
0.5,3.643357
0.75,3.181818
1.0,2.671329
1.25,2.664336
1.5,2.895105
1.75,2.062937
2.0,2.132867
2.5,2.104895
3.0,1.692308
3.5,1.517483
4.0,1.293706
5.0,0.9160839
6.0,0.6223776
