time[h],concentration[µg/ml]
0.25,0.52
0.5,1.58
0.75,1.71
1.0,1.43
1.5,1.87
2.0,1.99000013
3.0,0.96
4.0,0.78
6.0,0.32
8.0,0.18
10.0,0.06
