time[h],concentration[µg/ml]
0.25,4.92
0.5,2.7
0.75,2.11
1.0,1.89
1.5,1.25
2.0,1.04
3.0,0.73
4.0,0.46
6.0,0.26
8.0,0.12
10.0,0.08
