time[h],concentration[µg/ml]
0.25,0.03168317
0.5,0.2534654
0.75,0.5623763
1.0,0.6415842
1.25,0.6970297
1.5,0.6455445
1.75,0.609901
2.0,0.6653466
2.5,0.8118812
3.0,0.9148515
3.5,0.8554456
4.0,0.7366337
4.5,0.649505
5.0,0.5188119
5.5,0.439604
6.0,0.3841584
8.0,0.2019802
9.0,0.1346535
