time[h],concentration[µg/ml]
0.11,6.195883
0.16,4.646645
0.25,3.376667
0.41,2.164615
0.83,1.079753
1.08,0.8224746
2.08,0.5625035
3.07999969,0.4188334
4.08,0.2752324
5.08,0.1781863
6.08,0.1160133
8.08,0.08512247
