time[h],concentration[µg/ml]
0.25,0.06901531
0.5,0.2228687
0.75,0.4913672
1.0,0.6112106
1.25,0.5912414
1.5,0.581898
1.75,0.6931477
2.0,0.7249244
2.5,0.820766
3.0,0.8670937
3.5,0.7504485
4.0,0.6112106
4.5,0.497779816
5.0,0.419708
5.5,0.3189261
6.0,0.2932641
8.0,0.1313161
9.0,0.08635119
