time[h],concentration[µg/ml]
0.25,6.03
0.5,3.68
0.75,2.74
1.0,2.54
1.5,1.66
2.0,1.38
3.0,0.79
4.0,0.56
6.0,0.31
8.0,0.15
10.0,0.08
