time[min],concentration[µg/ml]
1.5,5.23
3.0,2.89
5.0,2.23
7.0,1.98
9.0,1.33
12.0,1.02
15.0,0.947
20.0,0.474
30.0,0.39
45.0,0.383
60.0,0.324
90.0,0.137
