time[min],concentration[µg/ml]
3.0,3.0
5.0,1.54
7.0,1.17
9.0,0.82
12.0,0.568
15.0,0.396
20.0,0.355
30.0,0.217
45.0,0.144
60.0,0.119
90.0,0.1
120.0,0.065
150.0,0.0376
