time[min],concentration[µg/ml]
1.5,9.96
3.0,2.09
6.0,1.48
7.0,1.0
9.0,0.909
12.0,0.773
15.0,0.544
20.0,0.441
30.0,0.28
45.0,0.248
60.0,0.194
88.0,0.226
119.0,0.115
180.0,0.0621
