time[min],concentration[µg/ml]
1.5,2.27
3.0,1.34
5.5,1.02
7.0,0.938
9.0,0.795
12.0,0.712
21.0,0.666
31.0,0.357
46.0,0.278
60.0,0.24499999
90.0,0.172
120.0,0.0911
150.0,0.105
180.0,0.07
