time[min],concentration[µg/ml]
1.5,2.89
3.0,1.97
5.0,1.58
9.0,1.16
12.0,0.612
15.0,0.72
20.0,0.546
29.0,0.394
43.0,0.313
59.0,0.273
89.0,0.198
129.0,0.0713
