time[min],concentration[µg/ml]
1.5,5.83
4.0,0.692
6.0,1.02
9.0,0.64
13.0,0.301
15.0,0.352
20.0,0.317
30.0,0.282
43.0,0.22
62.0,0.214
90.0,0.0931
120.0,0.0594
158.0,0.0534
