time[min],concentration[µg/ml]
1.5,4.22
4.0,1.99000013
6.0,2.17
10.0,0.811
13.0,0.742
15.0,0.456
20.0,0.316
31.0,0.182
44.0,0.117
59.0,0.104
92.0,0.0538
119.0,0.035
