time[min],concentration[µg/ml]
1.0,4.56
2.0,2.2
4.0,1.73
6.0,1.11
8.0,0.881
11.0,0.703
14.0,0.626
19.0,0.571
29.0,0.311
90.0,0.0731
120.0,0.0761
