time[min],concentration[µg/ml]
1.5,3.61
3.0,1.84
6.0,1.6
8.0,1.13
10.0,1.03
13.0,0.808
16.0,0.601
20.0,0.386
30.0,0.217
46.0,0.116
61.0,0.118
101.0,0.0615
