time[min],concentration[µg/ml]
1.5,4.38
5.0,1.56
7.0,1.2
9.0,0.842
12.0,0.685
15.0,0.486999959
20.0,0.399
30.0,0.26
45.0,0.242
60.0,0.177
90.0,0.099
120.0,0.104
150.0,0.0638
