time[h],concentration[µg/ml]
0.296394,0.101116
0.730074,0.491345972
0.987747,0.664763
1.49012,0.700756
2.49245,0.714912
4.02773,0.497582
6.02273,0.294571
8.02105,0.171078
10.0220995,0.112644
12.024,0.0758964047
14.0263,0.0463776
