time[h],concentration[mg/l]
0.5,0.0102783721
1.0,0.0531049222
1.5,0.123340473
2.0,0.157601714
2.5,0.181584582
3.0,0.1987152
3.5,0.205567449
4.0,0.210706636
5.0,0.167880073
6.0,0.133618847
8.0,0.101070665
12.0,0.0531049222
24.0,0.03768737
36.0,0.02398287
48.0,0.0188436843
