time[h],concentration[µmol/l]
144.0,0.0123228151
144.5,0.0187045746
145.0,0.018985441
146.0,0.01749123
147.0,0.0168514941
148.0,0.0154099651
150.0,0.01788667
152.0,0.0164789371
156.0,0.0132762017
168.0,0.0107759312
