time[h],concentration[mg/l]
0.355558932,0.5647059
0.400811881,0.4
0.404271871,0.463865548
0.407094479,0.5159664
0.466096342,0.60504204
0.6309008,0.6470588
0.632357657,0.67394954
0.742439866,0.7058824
0.9756266,0.715422451
1.01441276,0.726050436
1.07055843,0.71070385
1.07335615,0.7080055
1.08206725,0.704130948
1.10507011,0.7005885
1.1290189,0.6980424
1.15316963,0.69428134
1.24539793,0.6824751
1.26206541,0.6887851
1.26452577,0.6798598
1.26486313,0.6860867
1.26891637,0.6769207
1.30274355,0.6739318
1.33794391,0.671590447
1.34188545,0.65542537
1.3598069,0.6601828
1.3599149,0.662175357
1.3600229,0.664167941
1.36013079,0.6661606
1.36023879,0.668153167
1.43718362,0.650879741
1.45507467,0.6402566
1.45518267,0.642249167
1.45529056,0.6442418
1.45539856,0.6462344
1.45550656,0.648227036
1.4749229,0.6361219
1.55393362,0.63128984
1.57442915,0.6203304
1.582566,0.622323036
1.582674,0.6243156
1.582782,0.6263083
1.58288991,0.6283009
1.5903039,0.6169513
1.70168507,0.6128706
1.70951772,0.5944264
1.7096256,0.596419036
1.70973361,0.5984116
1.70984149,0.600404263
1.70994949,0.6023969
1.7100575,0.604389548
1.71016538,0.606382132
1.71027339,0.6083748
1.71038127,0.610367358
1.71743858,0.5924338
1.7640512,0.587613642
1.77288556,0.578485548
1.77299345,0.580478132
1.77310145,0.5824708
1.77320933,0.584463358
1.7839762,0.5757208
1.88248587,0.5711751
1.900161,0.5565668
1.90026891,0.558559358
1.90037692,0.560552
1.9004848,0.5625446
1.9005928,0.5645372
1.90070081,0.5665298
1.90080869,0.568522453
1.90966558,0.5541645
1.93206084,0.552581549
1.95445609,0.5509985
1.96363676,0.542618454
1.96374476,0.544611037
1.96385264,0.5466037
1.96396065,0.548596263
1.97155774,0.5406258
1.99553668,0.5386332
2.01014829,0.5366406
2.02074575,0.534648
2.02599049,0.532655358
2.02722287,0.53070426
2.03055429,0.528682
2.04102683,0.526742756
2.05667734,0.525101542
2.08275771,0.522614
2.10162258,0.5207946
2.14531541,0.517124
2.1546042,0.5107366
2.154712,0.5127292
2.15482,0.5147218
2.18950748,0.5071499
2.231774,0.5036591
2.26331425,0.501113951
2.27735758,0.499445081
2.28198743,0.490810454
2.28209543,0.492803067
2.28220344,0.4947957
2.2823112,0.4967883
2.291492,0.488408267
2.31388736,0.486825228
2.33628249,0.4852422
2.34567928,0.480847359
2.345787,0.48284
2.35197282,0.478456229
2.36064982,0.476589829
2.4648912,0.473113537
2.47317052,0.462913841
2.48130751,0.464906454
2.48163128,0.4708843
2.490674,0.459958136
2.49747324,0.466899067
2.49758124,0.46889168
2.52374887,0.4578991
2.55415988,0.4560725
2.63520718,0.450031
2.65993953,0.4476371
2.66467738,0.440995067
2.66478562,0.4429877
2.66489339,0.444980323
2.67097116,0.438603938
2.714848,0.435510635
2.763806,0.432348549
2.80970764,0.425696224
2.84727836,0.424057841
2.88648367,0.4208341
2.91197371,0.418507
2.93633413,0.416500151
2.95761,0.4148927
2.99841,0.406348467
2.99881744,0.412460923
3.01165843,0.4095402
3.11629272,0.4015998
3.1539104,0.399334639
3.1758306,0.3911797
3.1872983,0.3879666
3.19207621,0.394460171
3.57256579,0.356084764
3.583588,0.3594639
3.84745431,0.339371681
3.871433,0.337379068
3.88383913,0.3341909
3.91766644,0.331202
3.94241881,0.329661
3.9646,0.3280802
4.03933573,0.3243648
4.12119055,0.320331156
4.19954,0.317452937
4.2886,0.314685434
4.33031,0.31204915
4.391579,0.3053644
4.48763371,0.299962223
4.55170345,0.296973258
4.61580324,0.294537872
4.70485449,0.29160428
4.774406,0.287704855
4.892111,0.281793445
4.925482,0.280257434
5.000244,0.277047127
5.08927155,0.273670763
5.115059,0.272125065
5.14975166,0.270294368
5.224545,0.267637551
5.304652,0.264283329
5.340379,0.261775941
5.374004,0.259999216
5.448815,0.2576745
5.523626,0.255349755
5.544946,0.253689259
5.597798,0.25010255
5.64668846,0.24740538
5.67298841,0.24591805
5.74546576,0.2425057
5.8332324,0.239740953
5.922284,0.236807361
5.99885368,0.234012172
6.089727,0.231770486
6.1538496,0.229777873
6.205499,0.227237284
6.30161858,0.223855361
6.325196,0.221035272
6.410128,0.217822179
6.49104071,0.214497
6.573507,0.210217029
6.6665144,0.2078591
6.755566,0.204925522
6.83213568,0.202130333
6.94793653,0.198947683
7.01914,0.1959034
7.07769775,0.193507537
7.134155,0.191386819
7.2114563,0.18892926
7.32599831,0.186035216
7.39856863,0.184694961
7.52504826,0.18101415
7.60161734,0.178218961
7.717419,0.175036311
7.793988,0.1722411
7.88486147,0.1699994
7.9952755,0.166180223
8.087919,0.163689464
8.124219,0.16187714
8.1889,0.15982087
8.269631,0.158575088
8.383071,0.157910869
8.471418,0.1570474
8.536869,0.156258672
8.584186,0.155254051
8.654775,0.1540585
8.77217,0.152995765
8.840949,0.152265146
8.960787,0.151124924
9.040003,0.151069567
9.161212,0.1505631
9.3382,0.14717567
9.425175,0.14708434
9.489407,0.14708434
9.553624,0.146835268
9.617816,0.146088034
9.682048,0.146088034
9.746279,0.146088034
9.859747,0.1459552
9.980206,0.144981027
10.0780878,0.145091712
10.142292,0.144593567
10.2421083,0.142767012
10.3733387,0.141161844
10.50175,0.140193209
10.5844908,0.13933529
10.656498,0.138792157
10.7378321,0.138294
10.8013849,0.138117567
10.9019995,0.1378685
10.9662046,0.137370333
11.0796175,0.136207983
11.1534338,0.135294691
11.2229834,0.1346637
11.2871866,0.134132341
11.3514585,0.134879574
11.4157038,0.135128647
11.4799347,0.135128647
11.5441656,0.135128647
11.6083975,0.135128647
11.6726294,0.135128647
11.7368612,0.135128647
11.858058,0.134398028
12.0350657,0.131375879
12.1407738,0.131254122
12.20764,0.1304792
12.300293,0.1281545
12.4358063,0.1282043
12.6128187,0.125256911
12.6997938,0.125165567
12.7640247,0.125165567
12.8531456,0.125165567
13.0497551,0.123322405
13.149251,0.122176655
13.2134829,0.122176655
13.3392649,0.122093625
13.4949045,0.120078087
13.5580349,0.119699724
13.6437159,0.119984776
13.7271862,0.119436808
13.7914038,0.119187735
13.8893461,0.118988469
14.0481977,0.116730168
14.1427221,0.116032749
14.2761726,0.115883313
14.350049,0.116065964
14.4763136,0.115003236
14.6175251,0.113209888
14.690321,0.113209888
14.7545519,0.113209888
14.8187847,0.113209888
14.8830156,0.113209888
14.9472475,0.113209888
15.0114784,0.113209888
15.1094208,0.113010623
15.2532759,0.110602878
15.3816671,0.109280005
15.4608822,0.109224647
15.525115,0.109224647
15.5893459,0.109224647
15.7027721,0.10831137
15.8261366,0.1073459
15.8876953,0.106947377
16.0208912,0.104907319
16.15212,0.103302158
16.2313366,0.103246808
16.2955551,0.102997728
16.3597469,0.1022505
16.4239769,0.1022505
16.4882088,0.1022505
16.55244,0.1022505
16.6166725,0.1022505
16.6809025,0.1022505
17.3956184,0.09579832
18.7493839,0.0840336159
20.3741188,0.0739495754
22.5947,0.062184874
26.0068836,0.0453781523
28.4442577,0.03529412
30.393959,0.0235294122
32.6692657,0.02184874
34.2400055,0.0151260495
35.3233452,0.0117647061
