time[h],concentration[ng/ml]
0.1666667,8.663854
0.3333333,25.79465
0.5,24.71167
0.75,19.98594
1.0,16.24473
1.5,11.51899
2.0,8.073136
3.0,5.11955
4.0,3.642757
5.0,2.461322
