time[h],concentration[mg/l]
1.0,0.303810149
1.5,3.54336143
2.0,6.32897329
2.5,5.14875555
3.0,4.386697
3.5,3.81571412
4.0,3.57921267
5.0,2.86723876
6.0,2.03580713
7.0,1.75388134
9.0,1.10646522
11.0,0.626233757
