time[h],concentration[µg/l]
144.25,2.625031
144.5,14.36069
145.0,27.51918
145.5,22.78405
146.0,16.63247
148.0,9.439372
150.0,6.747722
152.0,5.13696
154.0,3.672149
156.0,3.376555
158.0,2.795563
162.0,1.654546
166.0,1.620195
168.0,1.586557
312.25,1.702594
312.5,10.525
313.0,31.14106
313.5,21.54435
314.0,16.51117
316.0,8.935341
318.0,6.440045
320.0,4.935525
322.0,3.94053817
324.0,3.705859
326.0,2.782559
330.0,1.96486807
334.0,1.84784985
336.0,1.416156
