time[h],concentration[mg/l]
1.0,503.001678
4.0,482.4185
24.0,469.554016
48.0,379.5026
72.0,335.7633
96.0,324.1852
144.0,317.753
192.0,281.732422
240.0,254.71698
288.0,261.1492
336.0,237.9931
384.0,235.4202
480.0,200.6861
576.0,192.9674
744.0,144.082291
984.0,109.3482
1320.0,63.0360222
