time[h],concentration[µg/l]
0.5,49.28436
1.0,180.2977
2.0,298.1037
4.0,334.8939
6.0,196.6009
8.0,107.4009
10.0,66.1595
12.0,45.95244
16.0,20.62795
24.0,7.225856
