time[h],concentration[ng/ml]
0.17,8.391964
0.5,104.308113
0.75,89.13489
1.0,83.39703
2.0,51.1024055
3.0,34.492672
4.0,25.6454487
6.0,8.229092
8.0,4.688555
12.0,1.9736675
