time[h],concentration[ng/ml]
0.25,6.62389469
0.5,70.8456345
0.75,130.4105
1.0,173.799088
1.25,189.49144
1.5,151.262268
2.0,127.009911
3.0,106.691315
4.0,66.0294342
6.0,31.2745838
8.0,23.7254429
10.0,17.1570129
