time[h],concentration[µg/l]
120.0,1602.03
121.0,4059.65869
121.5,7546.556
122.0,10501.89
124.0,8715.749
125.0,6523.181
126.0,5414.6
128.0,4051.994
130.0,3362.296
132.0,2848.031
136.0,2086.286
140.0,1766.335
144.0,1591.051
156.0,508.7171
168.0,235.9636
180.0,87.18763
192.0,26.74817
