time[h],concentration[mg/l]
0.6666667,0.0007859425
1.0,0.00115655013
1.5,0.001354633
2.0,0.00132268411
2.5,0.001188498
3.0,0.00111821108
4.0,0.0008945687
5.0,0.0006645367
6.0,0.000568690069
7.0,0.000364217325
