time[h],concentration[µmol/l]
0.0112069072,0.008835055
0.486281335,0.799166143
0.6847841,0.5175172
0.947708249,0.351632446
1.23126531,0.242918357
1.48927367,0.185670108
1.74734676,0.126992434
2.00373816,0.105479874
2.23729753,0.0753972158
2.49343038,0.05960237
2.72647214,0.04095513
3.0748384,0.0394286849
3.46925735,0.0323504023
4.029811,0.0264457278
4.497373,0.0119441627
4.98043966,0.004592049
