time[h],concentration[µmol/l]
0.108132116,0.682668746
0.1923077,3.25835633
0.2596154,2.8346653
0.328024447,2.36769748
0.425754368,1.70886719
0.4903846,1.39919376
0.7555929,1.11903214
0.9999177,0.795543849
1.50078356,0.328112066
2.00164938,0.189857453
3.0,0.0718590543
4.0,0.0444782972
4.99462843,0.0142197972
