time[h],concentration[µmol/l]
0.5737705,0.0409836061
0.933110356,0.459128439
1.43886316,0.438422084
1.92287433,0.445324183
2.42914486,0.403911471
2.93576026,0.348694533
3.44375634,0.238260612
3.93104577,0.114022471
4.921845,0.0588055141
5.92377043,0.0409836061
