time[day(s)],concentration[µmol/l]
6.000726,0.007965052
6.008116,6.657029
6.0107,9.873402
6.03258657,9.516553
6.04272747,8.750013
6.063043,7.5049386
6.084167,6.88398027
6.127051,4.87415552
6.16784048,3.68002939
6.249547,2.323795
6.334215,1.27998734
6.5007906,0.5359743
