time[h],concentration[µmol/l]
0.140805185,1.79123521
0.190639958,1.446194
0.24033986,1.12893009
0.308607,0.911278546
0.382550567,0.730923653
0.5545859,0.614091635
0.7100764,0.418074042
1.03790867,0.258153
1.5219208,0.128919154
2.0133245,0.05739252
2.99904251,0.0235362612
