time[day(s)],concentration[mg/l]
0.0520833321,58.60735
0.25,54.69136
0.5,49.87463
1.0,48.18296
3.0,39.62135
4.0,29.36267
7.0,24.4306
14.0,18.12777
21.0,14.41449
28.0,13.94464
42.0,8.616008
56.0,6.256439
