time[day(s)],concentration[mg/l]
0.0520833321,124.019295
0.25,122.605095
0.5,106.7641
1.0,97.36496
3.0,75.57823
4.0,66.5876541
7.0,58.01839
14.0,42.06819
21.0,28.4641
28.0,23.43058
42.0,14.14702
56.0,9.92328548
