time[day(s)],concentration[mg/l]
0.0520833321,247.739685
0.25,215.7307
0.5,187.8599
1.0,169.3571
3.0,140.87941
4.0,127.0168
7.0,104.4699
14.0,69.87489
21.0,52.4493179
28.0,39.82602
42.0,25.4736214
56.0,16.29371
